Population,Pedigree,Run,Rate,Number,Survival,Biomass
R,R,1,26.25,1,Low,0.4
R,R,1,26.25,2,Low,0.35
R,R,1,26.25,3,Low,0.52
R,R,1,26.25,4,Low,0.54
R,R,1,26.25,5,Low,0.51
R,R,1,26.25,6,Low,0.24
R,R,1,26.25,7,Low,0.42
R,R,1,26.25,8,Low,0.43
R,R,1,26.25,9,Low,0.2
R,R,1,26.25,10,Low,0.44
R,R,2,26.25,1,Low,0.22
R,R,2,26.25,2,Low,0.36
R,R,2,26.25,3,Low,0.04
R,R,2,26.25,4,Low,0.4
R,R,2,26.25,5,Low,0.3
R,R,2,26.25,6,Low,0.28
R,R,2,26.25,7,Low,0.3
R,R,2,26.25,8,Low,0.4
R,R,2,26.25,9,Low,0.34
R,R,2,26.25,10,Low,0.36
R,R,2,26.25,11,Low,0.38
R,R,2,26.25,12,Low,0.39
R,R,2,26.25,13,Low,0.22
R,R,2,26.25,14,Low,0.39
R,R,2,26.25,15,Low,0.4
R,R,2,26.25,16,Low,0.3
S,S,1,26.25,1,High,0.12
S,S,1,26.25,2,High,0.15
S,S,1,26.25,3,High,0.22
S,S,1,26.25,4,High,0.14
S,S,1,26.25,5,High,0.21
S,S,1,26.25,6,Died,0.06
S,S,1,26.25,7,Died,0.05
S,S,1,26.25,8,High,0.18
S,S,2,26.25,1,High,0.06
S,S,2,26.25,2,High,0.09
S,S,2,26.25,3,High,0.04
S,S,2,26.25,4,High,0.1
S,S,2,26.25,5,High,0.1
S,S,2,26.25,6,High,0.11
S,S,2,26.25,7,Died,0.05
S,S,2,26.25,8,High,0.06
S,S,2,26.25,9,High,0.12
S,S,2,26.25,10,Died,0.02
S,S,2,26.25,11,Died,0.02
S,S,2,26.25,12,High,0.04
S,S,2,26.25,13,High,0.05
S,S,2,26.25,14,High,0.11
F1-8,F1,1,26.25,1,Low,0.21
F1-8,F1,1,26.25,2,Low,0.25
F1-8,F1,1,26.25,3,Low,0.2
F1-8,F1,1,26.25,4,Low,0.17
F1-8,F1,1,26.25,5,Low,0.19
F1-8,F1,1,26.25,6,Low,0.19
F1-8,F1,1,26.25,7,Low,0.17
F1-8,F1,1,26.25,8,Low,0.15
F1-8,F1,1,26.25,9,Low,0.17
F1-8,F1,1,26.25,10,Low,0.24
F1-8,F1,1,26.25,11,Low,0.25
F1-8,F1,1,26.25,12,Low,0.36
F1-8,F1,1,26.25,13,Low,0.28
F1-8,F1,2,26.25,1,Low,0.31
F1-8,F1,2,26.25,2,Low,0.3
F1-8,F1,2,26.25,3,Medium,0.1
F1-8,F1,2,26.25,4,Low,0.23
F1-8,F1,2,26.25,5,Low,0.1
F1-8,F1,2,26.25,6,Low,0.11
F1-8,F1,2,26.25,7,Low,0.29
F1-8,F1,2,26.25,8,Low,0.21
F1-8,F1,2,26.25,9,Low,0.15
F1-8,F1,2,26.25,10,Low,0.2
F1-8,F1,2,26.25,11,Low,0.05
F1-8,F1,2,26.25,12,Low,0.2
F1-8,F1,2,26.25,13,Low,0.05
F1-8,F1,2,26.25,14,Low,0.31
F1-8,F1,2,26.25,15,Low,0.23
F1-8,F1,2,26.25,16,Low,0.26
F1-8,F1,2,26.25,17,Low,0.1
F1-8,F1,2,26.25,18,Low,0.04
F1-8,F1,2,26.25,19,Low,0.11
F1-8,F1,2,26.25,20,Low,0.38
F1-8,F1,2,26.25,21,Low,0.07
F1-8,F1,2,26.25,22,Low,0.13
F1-8,F1,2,26.25,23,Low,0.2
F1-8,F1,2,26.25,24,Low,0.1
F1-9,F1,1,26.25,1,Low,0.13
F1-9,F1,1,26.25,2,Low,0.29
F1-9,F1,1,26.25,3,Low,0.15
F1-9,F1,1,26.25,4,Low,0.45
F1-9,F1,1,26.25,5,Low,0.17
F1-9,F1,1,26.25,6,Low,0.08
F1-9,F1,1,26.25,7,Low,0.29
F1-9,F1,1,26.25,8,Low,0.3
F1-9,F1,1,26.25,9,Low,0.34
F1-9,F1,2,26.25,1,Low,0.16
F1-9,F1,2,26.25,2,Low,0.36
F1-9,F1,2,26.25,3,Low,0.25
F1-9,F1,2,26.25,4,Low,0.31
F1-9,F1,2,26.25,5,Low,0.14
F1-9,F1,2,26.25,6,Low,0.17
F1-9,F1,2,26.25,7,Low,0.17
F1-9,F1,2,26.25,8,Low,0.17
F1-9,F1,2,26.25,9,Low,0.11
F1-9,F1,2,26.25,10,Low,0.07
F1-9,F1,2,26.25,11,Low,0.24
F1-9,F1,2,26.25,12,Low,0.15
F1-9,F1,2,26.25,13,Low,0.28
F1-9,F1,2,26.25,14,Low,0.43
F1-13,F1,1,26.25,1,Low,0.36
F1-13,F1,1,26.25,2,Low,0.28
F1-13,F1,1,26.25,3,Low,0.35
F1-13,F1,1,26.25,4,Low,0.24
F1-13,F1,1,26.25,5,Low,0.51
F1-13,F1,1,26.25,6,Low,0.36
F1-13,F1,1,26.25,7,Low,0.42
F1-13,F1,1,26.25,8,Low,0.31
F1-13,F1,2,26.25,1,Low,0.5
F1-13,F1,2,26.25,2,Low,0.51
F1-13,F1,2,26.25,3,Low,0.43
F1-13,F1,2,26.25,4,Low,0.41
F1-13,F1,2,26.25,5,Low,0.39
F1-13,F1,2,26.25,6,Low,0.52
F1-13,F1,2,26.25,7,Low,0.43
F1-13,F1,2,26.25,8,Low,0.52
F1-13,F1,2,26.25,9,Low,0.52
F1-13,F1,2,26.25,10,Low,0.26
F1-13,F1,2,26.25,11,Low,0.42
F1-13,F1,2,26.25,12,Low,0.51
F1-13,F1,2,26.25,13,Low,0.72
F1-13,F1,2,26.25,14,Low,0.52
F1-13,F1,2,26.25,15,Low,0.5
F1-13,F1,2,26.25,16,Low,0.35
F1-13,F1,2,26.25,17,Low,0.62
F1-13,F1,2,26.25,18,Low,0.42
F1-13,F1,2,26.25,19,Low,0.47
F1-13,F1,2,26.25,20,Low,0.56
F1-13,F1,2,26.25,21,Low,0.49
F1-13,F1,2,26.25,22,Low,0.47
F1-13,F1,2,26.25,23,Low,0.56
F1-13,F1,2,26.25,24,Low,0.12
F2-9,F2,1,26.25,1,Died,0.01
F2-9,F2,1,26.25,2,Died,0.01
F2-9,F2,1,26.25,3,Died,0
F2-9,F2,1,26.25,4,Died,0.01
F2-9,F2,1,26.25,5,Died,0.01
F2-9,F2,1,26.25,6,Died,0
F2-9,F2,1,26.25,7,Low,0.31
F2-9,F2,1,26.25,8,Low,0.29
F2-9,F2,1,26.25,9,Low,0.18
F2-9,F2,1,26.25,10,Low,0.36
F2-9,F2,1,26.25,11,Low,0.22
F2-9,F2,1,26.25,12,Low,0.26
F2-9,F2,1,26.25,13,Low,0.14
F2-9,F2,1,26.25,14,Low,0.27
F2-9,F2,1,26.25,15,Low,0.18
F2-9,F2,1,26.25,16,Low,0.28
F2-9,F2,1,26.25,17,Died,0
F2-9,F2,1,26.25,18,Low,0.15
F2-9,F2,1,26.25,19,Low,0.226
F2-9,F2,1,26.25,20,Low,0.19
F2-9,F2,1,26.25,21,Low,0.28
F2-9,F2,1,26.25,22,Low,0.19
F2-9,F2,1,26.25,23,Low,0.07
F2-9,F2,1,26.25,24,Died,0.01
F2-9,F2,1,26.25,25,Died,0
F2-9,F2,1,26.25,26,Low,0.17
F2-9,F2,1,26.25,27,Low,0.36
F2-9,F2,1,26.25,28,Low,0.31
F2-9,F2,1,26.25,29,Low,0.16
F2-9,F2,1,26.25,30,Low,0.1
F2-9,F2,1,26.25,31,Low,0.11
F2-9,F2,1,26.25,32,Low,0.37
F2-9,F2,1,26.25,33,Low,0.36
F2-9,F2,1,26.25,34,Died,0.06
F2-9,F2,1,26.25,35,Low,0.3
F2-9,F2,1,26.25,36,Low,0.31
F2-9,F2,1,26.25,37,Low,0.33
F2-9,F2,1,26.25,38,Low,0.27
F2-9,F2,1,26.25,39,Low,0.47
F2-9,F2,1,26.25,40,Low,0.09
F2-9,F2,1,26.25,41,Low,0.21
F2-9,F2,1,26.25,42,Low,0.19
F2-9,F2,1,26.25,43,Low,0.25
F2-9,F2,1,26.25,44,Low,0.25
F2-9,F2,1,26.25,45,Low,0.31
F2-9,F2,1,26.25,46,Low,0.28
F2-9,F2,1,26.25,47,Low,0.13
F2-9,F2,1,26.25,48,Low,0.07
F2-9,F2,1,26.25,49,Low,0.17
F2-9,F2,1,26.25,50,Low,0.07
F2-9,F2,1,26.25,51,Low,0.07
F2-9,F2,1,26.25,52,Low,0.31
F2-9,F2,1,26.25,53,Low,0.2
F2-9,F2,1,26.25,54,Low,0.27
F2-9,F2,1,26.25,55,Low,0.213
F2-9,F2,1,26.25,56,Low,0.35
F2-9,F2,1,26.25,57,Low,0.06
F2-9,F2,1,26.25,58,Low,0.21
F2-9,F2,1,26.25,59,Low,0.22
F2-9,F2,1,26.25,60,Low,0.21
F2-9,F2,1,26.25,61,Low,0.16
F2-9,F2,1,26.25,62,Low,0.27
F2-9,F2,1,26.25,63,Low,0.1
F2-9,F2,1,26.25,64,Low,0.1
F2-9,F2,1,26.25,65,Low,0.31
F2-9,F2,1,26.25,66,Low,0.35
F2-9,F2,1,26.25,67,Low,0.18
F2-9,F2,1,26.25,68,Low,0.17
F2-9,F2,1,26.25,69,Low,0.3
F2-9,F2,1,26.25,70,Low,0.15
F2-9,F2,1,26.25,71,Low,0.16
F2-9,F2,1,26.25,72,Low,0.18
F2-9,F2,1,26.25,73,Low,0.31
F2-9,F2,1,26.25,74,Low,0.2
F2-9,F2,1,26.25,75,Low,0.3
F2-13,F2,1,26.25,1,Low,0.16
F2-13,F2,1,26.25,2,Low,0.13
F2-13,F2,1,26.25,3,Low,0.16
F2-13,F2,1,26.25,4,Low,0.15
F2-13,F2,1,26.25,5,Low,0.09
F2-13,F2,1,26.25,6,Low,0.13
F2-13,F2,1,26.25,7,Low,0.18
F2-13,F2,1,26.25,8,Low,0.18
F2-13,F2,1,26.25,9,Low,0.1
F2-13,F2,1,26.25,10,Low,0.17
F2-13,F2,1,26.25,11,Low,0.15
F2-13,F2,1,26.25,12,Low,0.15
F2-13,F2,1,26.25,13,Low,0.16
F2-13,F2,1,26.25,14,Low,0.2
F2-13,F2,1,26.25,15,Low,0.06
F2-13,F2,1,26.25,16,Low,0.19
F2-13,F2,1,26.25,17,Low,0.14
F2-13,F2,1,26.25,18,Low,0.15
F2-13,F2,1,26.25,19,Low,0.16
F2-13,F2,1,26.25,20,Low,0.14
F2-13,F2,1,26.25,21,Low,0.19
F2-13,F2,1,26.25,22,Low,0.16
F2-13,F2,1,26.25,23,Low,0.19
F2-13,F2,1,26.25,24,Low,0.15
F2-13,F2,1,26.25,25,Low,0.12
F2-13,F2,1,26.25,26,Low,0.14
F2-13,F2,1,26.25,27,Low,0.19
F2-13,F2,1,26.25,28,Low,0.16
F2-13,F2,1,26.25,29,Low,0.21
F2-13,F2,1,26.25,30,Low,0.21
F2-13,F2,1,26.25,31,Low,0.15
F2-13,F2,1,26.25,32,Low,0.16
F2-13,F2,1,26.25,33,Low,0.13
F2-13,F2,1,26.25,34,Low,0.19
F2-13,F2,1,26.25,35,Low,0.15
F2-13,F2,1,26.25,36,Low,0.19
F2-13,F2,1,26.25,37,Low,0.28
F2-13,F2,1,26.25,38,Low,0.17
F2-13,F2,1,26.25,39,Low,0.18
F2-13,F2,1,26.25,40,Low,0.26
F2-13,F2,1,26.25,41,Low,0.12
F2-13,F2,1,26.25,42,Low,0.1
F2-13,F2,1,26.25,43,Low,0.18
F2-13,F2,1,26.25,44,Low,0.2
F2-13,F2,1,26.25,45,Low,0.08
F2-13,F2,1,26.25,46,Low,0.16
F2-13,F2,1,26.25,47,Low,0.1
F2-13,F2,1,26.25,48,Low,0.14
F2-13,F2,1,26.25,49,Low,0.14
F2-13,F2,1,26.25,50,Low,0.15
F2-13,F2,1,26.25,51,Low,0.08
F2-13,F2,1,26.25,52,Low,0.16
F2-13,F2,1,26.25,53,Low,0.13
F2-13,F2,1,26.25,54,Low,0.18
F2-13,F2,1,26.25,55,Low,0.1
F2-13,F2,1,26.25,56,Low,0.14
F2-13,F2,1,26.25,57,Low,0.18
F2-13,F2,1,26.25,58,Low,0.09
F2-13,F2,1,26.25,59,Low,0.12
F2-13,F2,1,26.25,60,Low,0.2
F2-13,F2,1,26.25,61,Low,0.1
F2-13,F2,1,26.25,62,Low,0.16
F2-13,F2,1,26.25,63,Low,0.15
F2-13,F2,1,26.25,64,Low,0.19
F2-13,F2,1,26.25,65,Low,0.07
F2-13,F2,1,26.25,66,Low,0.1
F2-13,F2,1,26.25,67,Low,0.09
F2-13,F2,1,26.25,68,Low,0.16
F2-13,F2,1,26.25,69,Low,0.18
F2-13,F2,1,26.25,70,Low,0.17
F2-13,F2,1,26.25,71,Low,0.21
F2-13,F2,1,26.25,72,Low,0.23
F2-13,F2,1,26.25,73,Low,0.07
F2-13,F2,1,26.25,74,Low,0.12
F2-13,F2,1,26.25,75,Low,0.18
F2-13,F2,1,26.25,76,Low,0.2
F2-13,F2,1,26.25,77,Low,0.26
F2-13,F2,1,26.25,78,Low,0.27
F2-13,F2,1,26.25,79,Low,0.16
F2-13,F2,1,26.25,80,Low,0.2
F2-13,F2,1,26.25,81,Low,0.2
F2-13,F2,1,26.25,82,Low,0.18
F2-13,F2,1,26.25,83,Low,0.15
F2-13,F2,1,26.25,84,Low,0.21
F2-13,F2,1,26.25,85,Low,0.06
F2-13,F2,1,26.25,86,Low,0.21
F2-13,F2,1,26.25,87,Low,0.07
F2-13,F2,1,26.25,88,Low,0.13
F2-13,F2,1,26.25,89,Low,0.2
F2-13,F2,1,26.25,90,Low,0.17
F2-13,F2,1,26.25,91,Low,0.19
F2-13,F2,1,26.25,92,Low,0.22
F2-13,F2,1,26.25,93,Low,0.15
F2-13,F2,1,26.25,94,Low,0.21
F2-13,F2,1,26.25,95,Low,0.32
F2-13,F2,1,26.25,96,Low,0.2
F2-13,F2,1,26.25,97,Low,0.18
F2-13,F2,1,26.25,98,Low,0.19
BC-8,BC,1,26.25,1,Low,0.22
BC-8,BC,1,26.25,2,Low,0.12
BC-8,BC,1,26.25,3,Low,0.22
BC-8,BC,1,26.25,4,Low,0.23
BC-8,BC,1,26.25,5,Low,0.11
BC-8,BC,1,26.25,6,Low,0.26
BC-8,BC,1,26.25,7,Low,0.02
BC-8,BC,1,26.25,8,Low,0.28
BC-8,BC,1,26.25,9,Low,0.14
BC-8,BC,1,26.25,10,Low,0.18
BC-8,BC,1,26.25,11,Low,0.22
BC-8,BC,1,26.25,12,Low,0.2
BC-8,BC,1,26.25,13,Low,0.14
BC-8,BC,1,26.25,14,Low,0.19
BC-8,BC,1,26.25,15,Low,0.05
BC-8,BC,1,26.25,16,High,0.05
BC-8,BC,1,26.25,17,Low,0.16
BC-8,BC,1,26.25,18,Low,0.17
BC-8,BC,1,26.25,19,Low,0.06
BC-8,BC,1,26.25,20,Low,0.16
BC-8,BC,1,26.25,21,Low,0.07
BC-8,BC,1,26.25,22,Low,0.14
BC-8,BC,1,26.25,23,Low,0.21
BC-8,BC,1,26.25,24,Low,0.18
BC-8,BC,1,26.25,25,Low,0.18
BC-8,BC,1,26.25,26,Low,0.08
BC-8,BC,1,26.25,27,Low,0.13
BC-8,BC,1,26.25,28,Low,0.23
BC-8,BC,1,26.25,29,Low,0.12
BC-8,BC,1,26.25,30,Low,0.14
BC-8,BC,1,26.25,31,Low,0.06
BC-8,BC,1,26.25,32,Low,0.18
BC-8,BC,1,26.25,33,Low,0.1
BC-8,BC,1,26.25,34,Low,0.15
BC-8,BC,1,26.25,35,Low,0.14
BC-8,BC,1,26.25,36,Low,0.05
BC-8,BC,1,26.25,37,Low,0.2
BC-8,BC,1,26.25,38,Low,0.15
BC-8,BC,1,26.25,39,Low,0.23
BC-8,BC,1,26.25,40,Low,0.26
BC-8,BC,1,26.25,41,Low,0.16
BC-8,BC,1,26.25,42,Low,0.08
BC-8,BC,1,26.25,43,Low,0.05
BC-8,BC,1,26.25,44,Low,0.19
BC-8,BC,1,26.25,45,Low,0.04
BC-8,BC,1,26.25,46,Low,0.2
BC-8,BC,1,26.25,47,Low,0.15
BC-8,BC,1,26.25,48,Low,0.15
BC-8,BC,1,26.25,49,Low,0.22
BC-8,BC,1,26.25,50,Low,0.11
BC-8,BC,1,26.25,51,Low,0.15
BC-8,BC,1,26.25,52,Low,0.13
BC-8,BC,1,26.25,53,Low,0.06
BC-8,BC,1,26.25,54,Low,0.13
BC-8,BC,1,26.25,55,Low,0.14
BC-8,BC,1,26.25,56,Low,0.06
BC-8,BC,1,26.25,57,Low,0.04
BC-8,BC,1,26.25,58,Low,0.06
BC-8,BC,1,26.25,59,Low,0.24
BC-8,BC,1,26.25,60,Low,0.03
BC-8,BC,1,26.25,61,Low,0.19
BC-8,BC,1,26.25,62,Low,0.17
BC-8,BC,1,26.25,63,High,0.04
BC-8,BC,1,26.25,64,Low,0.08
BC-8,BC,1,26.25,65,Low,0.03
BC-8,BC,1,26.25,66,Low,0.1
BC-8,BC,1,26.25,67,High,0.02
BC-8,BC,1,26.25,68,Low,0.09
BC-8,BC,1,26.25,69,Low,0.08
BC-8,BC,1,26.25,70,Low,0.04
BC-8,BC,1,26.25,71,Low,0.12
BC-8,BC,1,26.25,72,Low,0.09
BC-8,BC,1,26.25,73,Low,0.08
BC-8,BC,1,26.25,74,Low,0.14
BC-8,BC,1,26.25,75,Low,0.15
BC-8,BC,1,26.25,76,Low,0.12
BC-8,BC,1,26.25,77,Low,0.14
BC-8,BC,1,26.25,78,Low,0.09
BC-8,BC,1,26.25,79,Low,0.23
BC-8,BC,1,26.25,80,Low,0.05
BC-8,BC,1,26.25,81,High,0.04
BC-8,BC,1,26.25,82,High,0.04
BC-8,BC,1,26.25,83,High,0.04
BC-8,BC,1,26.25,84,Low,0.13
BC-8,BC,1,26.25,85,Low,0.04
BC-8,BC,1,26.25,86,Low,0.02
BC-8,BC,1,26.25,87,Low,0.17
BC-8,BC,1,26.25,88,Low,0.05
BC-8,BC,1,26.25,89,Low,0.02
