Population,Pedigree,Run,Rate,Number,Survival,Biomass
F1-13,F1,2,105,10,Low,0.1
F1-13,F1,2,105,11,Low,0.21
F1-13,F1,2,105,12,Low,0.39
F1-13,F1,2,105,13,Low,0.27
F1-13,F1,2,105,14,Low,0.05
F1-13,F1,2,105,15,Low,0.28
F1-13,F1,2,105,16,Low,0.39
F1-13,F1,2,105,17,Low,0.33
F1-13,F1,2,105,18,Low,0.15
F1-13,F1,2,105,19,Low,0.37
F1-13,F1,2,105,20,Low,0.06
F1-13,F1,2,105,21,Low,0.1
F1-13,F1,2,105,22,Low,0.41
F1-13,F1,2,105,23,Low,0.34
F1-13,F1,2,105,24,Low,0.28
F2-9,F2,1,105,1,Low,0.2
F2-9,F2,1,105,2,Low,0.19
F2-9,F2,1,105,3,Low,0.21
F2-9,F2,1,105,4,Low,0.17
F2-9,F2,1,105,5,Low,0.18
F2-9,F2,1,105,6,Low,0.29
F2-9,F2,1,105,7,Low,0.07
F2-9,F2,1,105,8,Low,0.23
F2-9,F2,1,105,9,Low,0.33
F2-9,F2,1,105,10,Died,0.03
F2-9,F2,1,105,11,Low,0.12
F2-9,F2,1,105,12,Low,0.15
F2-9,F2,1,105,13,Low,0.25
F2-9,F2,1,105,14,Low,0.31
F2-9,F2,1,105,15,Low,0.13
F2-9,F2,1,105,16,Low,0.19
F2-9,F2,1,105,17,Low,0.19
F2-9,F2,1,105,18,Low,0.21
F2-9,F2,1,105,19,Died,0.05
F2-9,F2,1,105,20,Low,0.26
F2-9,F2,1,105,21,Died,0.03
F2-9,F2,1,105,22,Low,0.24
F2-9,F2,1,105,23,Low,0.14
F2-9,F2,1,105,24,Died,0.05
F2-9,F2,1,105,25,Low,0.19
F2-9,F2,1,105,26,Died,0.02
F2-9,F2,1,105,27,Low,0.25
F2-9,F2,1,105,28,Low,0.14
F2-9,F2,1,105,29,Low,0.19
F2-9,F2,1,105,30,Low,0.14
F2-9,F2,1,105,31,High,0.09
F2-9,F2,1,105,32,Low,0.14
F2-9,F2,1,105,33,Low,0.2
F2-9,F2,1,105,34,Died,0.05
F2-9,F2,1,105,35,Low,0.33
F2-9,F2,1,105,36,Low,0.22
F2-9,F2,1,105,37,Low,0.29
F2-9,F2,1,105,38,Low,0.04
F2-9,F2,1,105,39,Low,0.4
F2-9,F2,1,105,40,Low,0.31
F2-9,F2,1,105,41,Low,0.31
F2-9,F2,1,105,42,Died,0.02
F2-9,F2,1,105,43,Low,0.28
F2-9,F2,1,105,44,Low,0.11
F2-9,F2,1,105,45,Low,0.19
F2-9,F2,1,105,46,Low,0.25
F2-9,F2,1,105,47,Low,0.12
F2-9,F2,1,105,48,Died,0.01
F2-9,F2,1,105,49,Low,0.24
F2-9,F2,1,105,50,Low,0.22
F2-9,F2,1,105,51,Low,0.14
F2-9,F2,1,105,52,Low,0.1
F2-9,F2,1,105,53,Low,0.26
F2-9,F2,1,105,54,Low,0.23
F2-9,F2,1,105,55,Low,0.19
F2-9,F2,1,105,56,Low,0.39
F2-9,F2,1,105,57,Low,0.28
F2-9,F2,1,105,58,Died,0.01
F2-9,F2,1,105,59,Low,0.26
F2-9,F2,1,105,60,Low,0.16
F2-9,F2,1,105,61,Died,0.05
F2-9,F2,1,105,62,Died,0.08
F2-9,F2,1,105,63,Low,0.15
F2-9,F2,1,105,64,Low,0.11
F2-9,F2,1,105,65,Low,0.01
F2-9,F2,1,105,66,Died,0.08
F2-9,F2,1,105,67,Died,0.15
F2-9,F2,1,105,68,Low,0.25
F2-9,F2,1,105,69,Low,0.24
F2-9,F2,1,105,70,Low,0.31
F2-9,F2,1,105,71,Low,0.18
F2-9,F2,1,105,72,Low,0.2
F2-9,F2,1,105,73,Low,0.216
F2-9,F2,1,105,74,Died,0.15
F2-9,F2,1,105,75,Low,0.222
F2-9,F2,1,105,76,Low,0.26
F2-9,F2,1,105,77,Low,0.32
F2-9,F2,1,105,78,Low,0.2
F2-9,F2,1,105,79,Low,0.25
F2-9,F2,1,105,80,Low,0.16
F2-9,F2,1,105,81,Low,0.06
F2-9,F2,1,105,82,Low,0.28
F2-9,F2,1,105,83,Low,0.19
F2-9,F2,1,105,84,Low,0.37
F2-9,F2,1,105,85,Low,0.3
F2-9,F2,1,105,86,Low,0.32
F2-9,F2,1,105,87,Low,0.26
F2-9,F2,1,105,88,Low,0.29
F2-9,F2,1,105,89,Died,0.12
F2-9,F2,1,105,90,Low,0.28
F2-9,F2,1,105,91,Low,0.22
F2-9,F2,1,105,92,Low,0.14
F2-9,F2,1,105,93,Low,0.21654
F2-9,F2,1,105,94,Died,0.01
F2-9,F2,1,105,95,Low,0.26
F2-9,F2,1,105,96,Low,0.22
F2-13,F2,1,105,1,High,0.2
F2-13,F2,1,105,2,Died,0.1
F2-13,F2,1,105,3,High,0.1
F2-13,F2,1,105,4,Medium,0.14
F2-13,F2,1,105,5,High,0.13
F2-13,F2,1,105,6,Died,0.05
F2-13,F2,1,105,7,Died,0.09
F2-13,F2,1,105,8,Died,0.07
F2-13,F2,1,105,9,High,0.14
F2-13,F2,1,105,10,High,0.12
F2-13,F2,1,105,11,High,0.11
F2-13,F2,1,105,12,High,0.09
F2-13,F2,1,105,13,High,0.09
F2-13,F2,1,105,14,Medium,0.12
F2-13,F2,1,105,15,Medium,0.11
F2-13,F2,1,105,16,Medium,0.12
F2-13,F2,1,105,17,Medium,0.19
F2-13,F2,1,105,18,High,0.08
F2-13,F2,1,105,19,Medium,0.29
F2-13,F2,1,105,20,High,0.14
F2-13,F2,1,105,21,Medium,0.11
F2-13,F2,1,105,22,Medium,0.13
F2-13,F2,1,105,23,Medium,0.12
F2-13,F2,1,105,24,High,0.12
F2-13,F2,1,105,25,Died,0.11
F2-13,F2,1,105,26,Medium,0.12
F2-13,F2,1,105,27,Medium,0.16
F2-13,F2,1,105,28,High,0.11
F2-13,F2,1,105,29,High,0.11
F2-13,F2,1,105,30,Medium,0.16
F2-13,F2,1,105,31,High,0.09
F2-13,F2,1,105,32,Medium,0.09
F2-13,F2,1,105,33,Died,0.26
F2-13,F2,1,105,34,Medium,0.15
F2-13,F2,1,105,35,Medium,0.15
F2-13,F2,1,105,36,Medium,0.07
F2-13,F2,1,105,37,Medium,0.09
F2-13,F2,1,105,38,Medium,0.22
F2-13,F2,1,105,39,Medium,0.15
