Population,Pedigree,Run,Rate,Number,Survival,Biomass
R,R,1,420,1,Low,0.21
R,R,1,420,2,Low,0.12
R,R,1,420,3,Medium,0.14
R,R,1,420,4,Low,0.47
R,R,1,420,5,Low,0.26
R,R,1,420,6,Low,0.16
R,R,1,420,7,Low,0.34
R,R,1,420,8,Low,0.68
R,R,2,420,1,Low,0.34
R,R,2,420,2,Low,0.28
R,R,2,420,3,Low,0.25
R,R,2,420,4,Low,0.42
R,R,2,420,5,Low,0.35
R,R,2,420,6,Low,0.3
R,R,2,420,7,Low,0.23
R,R,2,420,8,Low,0.33
R,R,2,420,9,Low,0.37
R,R,2,420,10,Low,0.33
R,R,2,420,11,Low,0.26
R,R,2,420,12,Low,0.42
R,R,2,420,13,Low,0.38
R,R,2,420,14,Low,0.2
R,R,2,420,15,Low,0.37
R,R,2,420,16,Low,0.35
S,S,1,420,1,Died,0.01
S,S,1,420,2,Died,0.01
S,S,1,420,3,Died,0.01
S,S,1,420,4,Died,0.01
S,S,1,420,5,Died,0.02
S,S,1,420,6,Died,0.02
S,S,1,420,7,Died,0.02
S,S,1,420,8,Died,0.02
S,S,2,420,1,Died,0
S,S,2,420,2,Died,0.02
S,S,2,420,3,Died,0
S,S,2,420,4,Died,0.01
S,S,2,420,5,Died,0
S,S,2,420,6,Died,0.02
S,S,2,420,7,Died,0
S,S,2,420,8,Died,0
S,S,2,420,9,Died,0
S,S,2,420,10,Died,0
S,S,2,420,11,Died,0.07
S,S,2,420,12,Died,0.05
S,S,2,420,13,Died,0
S,S,2,420,14,Died,0
S,S,2,420,15,Died,0.04
F1-8,F1,1,420,1,Died,0.07
F1-8,F1,1,420,2,High,0.14
F1-8,F1,1,420,3,Died,0.02
F1-8,F1,1,420,4,Died,0.06
F1-8,F1,1,420,5,Died,0.01
F1-8,F1,1,420,6,Died,0.05
F1-8,F1,1,420,7,Died,0.04
F1-8,F1,1,420,8,Died,0.05
F1-8,F1,1,420,9,Died,0.05
F1-8,F1,1,420,10,Died,0.01
F1-8,F1,1,420,11,Died,0.05
F1-8,F1,1,420,12,Died,0.05
F1-8,F1,1,420,13,Died,0.09
F1-8,F1,2,420,1,Died,0.02
F1-8,F1,2,420,2,Died,0.02
F1-8,F1,2,420,3,High,0.15
F1-8,F1,2,420,4,Died,0.08
F1-8,F1,2,420,5,Died,0.08
F1-8,F1,2,420,6,Died,0.07
F1-8,F1,2,420,7,Died,0.08
F1-8,F1,2,420,8,Died,0.1
F1-8,F1,2,420,9,Died,0.11
F1-8,F1,2,420,10,Died,0.06
F1-8,F1,2,420,11,Died,0.06
F1-8,F1,2,420,12,Died,0.08
F1-8,F1,2,420,13,Died,0.09
F1-8,F1,2,420,14,Died,0.01
F1-8,F1,2,420,15,Died,0.01
F1-8,F1,2,420,16,Died,0.05
F1-8,F1,2,420,17,Died,0.01
F1-8,F1,2,420,18,Died,0.03
F1-8,F1,2,420,19,Died,0.01
F1-8,F1,2,420,20,Died,0.06
F1-8,F1,2,420,21,Died,0.05
F1-8,F1,2,420,22,Died,0.06
F1-8,F1,2,420,23,Died,0.08
F1-8,F1,2,420,24,Died,0.08
F1-9,F1,1,420,1,Medium,0.16
F1-9,F1,1,420,2,Died,0.05
F1-9,F1,1,420,3,Died,0.05
F1-9,F1,1,420,4,Low,0.24
F1-9,F1,1,420,5,High,0.06
F1-9,F1,1,420,6,Died,0.03
F1-9,F1,1,420,7,Died,0.01
F1-9,F1,1,420,8,Died,0.05
F1-9,F1,1,420,9,Died,0.01
F1-9,F1,2,420,1,Died,0.05
F1-9,F1,2,420,2,High,0.12
F1-9,F1,2,420,3,High,0.1
F1-9,F1,2,420,4,Died,0.04
F1-9,F1,2,420,5,Died,0.09
F1-9,F1,2,420,6,Died,0.04
F1-9,F1,2,420,7,High,0.14
F1-9,F1,2,420,8,Died,0.06
F1-9,F1,2,420,9,High,0.13
F1-13,F1,1,420,1,Low,0.55
F1-13,F1,1,420,2,Low,0.28
F1-13,F1,1,420,3,Low,0.34
F1-13,F1,1,420,4,Low,0.5
F1-13,F1,1,420,5,Low,0.29
F1-13,F1,1,420,6,High,0.03
F1-13,F1,1,420,7,Medium,0.11
F1-13,F1,1,420,8,Medium,0.18
F1-13,F1,1,420,9,Died,0.04
F1-13,F1,1,420,10,Died,0.04
F1-13,F1,1,420,11,High,0.07
F1-13,F1,1,420,12,Died,0.03
F1-13,F1,2,420,1,High,0.09
F1-13,F1,2,420,2,High,0.05
F1-13,F1,2,420,3,Low,0.28
F1-13,F1,2,420,4,Low,0.32
F1-13,F1,2,420,5,Low,0.41
F1-13,F1,2,420,6,High,0.1
F1-13,F1,2,420,7,Low,0.32
F1-13,F1,2,420,8,Low,0.29
F1-13,F1,2,420,9,Low,0.3
F1-13,F1,2,420,10,Low,0.27
F1-13,F1,2,420,11,Low,0.38
F1-13,F1,2,420,12,High,0.4
F1-13,F1,2,420,13,Low,0.25
F1-13,F1,2,420,14,High,0.03
F1-13,F1,2,420,15,High,0.06
F1-13,F1,2,420,16,Died,0.08
F1-13,F1,2,420,17,Low,0.42
F1-13,F1,2,420,18,High,0.2
F1-13,F1,2,420,19,High,0.13
F1-13,F1,2,420,20,Low,0.47
F1-13,F1,2,420,21,High,0.2
F1-13,F1,2,420,22,Died,0.13
F1-13,F1,2,420,23,Low,0.31
F1-13,F1,2,420,24,Low,0.32
F2-9,F2,1,420,1,Low,0.27
F2-9,F2,1,420,2,Low,0.2
F2-9,F2,1,420,3,Low,0.21
F2-9,F2,1,420,4,Low,0.24
F2-9,F2,1,420,5,Low,0.23
F2-9,F2,1,420,6,Low,0.25
F2-9,F2,1,420,7,Low,0.19
F2-9,F2,1,420,8,Low,0.12
F2-9,F2,1,420,9,Low,0.14
F2-9,F2,1,420,10,Low,0.14
F2-9,F2,1,420,11,Low,0.19
F2-9,F2,1,420,12,Low,0.35
F2-9,F2,1,420,13,Low,0.12
F2-9,F2,1,420,14,Died,0.02
F2-9,F2,1,420,15,Low,0.27
F2-9,F2,1,420,16,Low,0.3
F2-9,F2,1,420,17,Low,0.2
F2-9,F2,1,420,18,Low,0.18
F2-9,F2,1,420,19,Low,0.23
F2-9,F2,1,420,20,Low,0.23
F2-9,F2,1,420,21,Low,0.09
F2-9,F2,1,420,22,Low,0.18
F2-9,F2,1,420,23,Medium,0.11
F2-9,F2,1,420,24,Low,0.18
F2-9,F2,1,420,25,Low,0.29
F2-9,F2,1,420,26,Low,0.23
F2-9,F2,1,420,27,Low,0.16
F2-9,F2,1,420,28,Low,0.18
F2-9,F2,1,420,29,Low,0.13
F2-9,F2,1,420,30,Died,0.02
F2-9,F2,1,420,31,Low,0.26
F2-9,F2,1,420,32,Low,0.21
F2-9,F2,1,420,33,Low,0.29
F2-9,F2,1,420,34,Died,0.04
F2-9,F2,1,420,35,Low,0.22
F2-9,F2,1,420,36,Low,0.24
F2-9,F2,1,420,37,Low,0.27
F2-9,F2,1,420,38,Low,0.23
F2-9,F2,1,420,39,Low,0.46
F2-9,F2,1,420,40,Low,0.2
F2-9,F2,1,420,41,Low,0.19
F2-9,F2,1,420,42,Low,0.06
F2-9,F2,1,420,43,Low,0.07
F2-9,F2,1,420,44,Low,0.29
F2-9,F2,1,420,45,Low,0.22
F2-9,F2,1,420,46,Low,0.07
F2-9,F2,1,420,47,Low,0.3
F2-9,F2,1,420,48,Low,0.17
F2-9,F2,1,420,49,Low,0.2
F2-9,F2,1,420,50,Low,0.16
F2-9,F2,1,420,51,Low,0.14
F2-9,F2,1,420,52,Low,0.27
F2-9,F2,1,420,53,Low,0.31
F2-9,F2,1,420,54,Low,0.11
F2-9,F2,1,420,55,Low,0.15
F2-9,F2,1,420,56,Low,0.14
F2-9,F2,1,420,57,Low,0.33
F2-9,F2,1,420,58,Low,0.22
F2-9,F2,1,420,59,Low,0.3
F2-9,F2,1,420,60,Died,0
F2-9,F2,1,420,61,Medium,0.11
F2-9,F2,1,420,62,Low,0.18
F2-9,F2,1,420,63,Low,0.29
F2-9,F2,1,420,64,Low,0.23
F2-9,F2,1,420,65,Low,0.2
F2-9,F2,1,420,66,Low,0.21
F2-9,F2,1,420,67,Low,0.22
F2-9,F2,1,420,68,Low,0.25
F2-9,F2,1,420,69,Low,0.16
F2-9,F2,1,420,70,Low,0.31
F2-9,F2,1,420,71,Low,0.08
F2-9,F2,1,420,72,Low,0.18
F2-9,F2,1,420,73,Medium,0.11
F2-9,F2,1,420,74,Low,0.13
F2-9,F2,1,420,75,Died,0.01
F2-9,F2,1,420,76,Low,0.17
F2-9,F2,1,420,77,Low,0.34
F2-9,F2,1,420,78,Low,0.18
F2-9,F2,1,420,79,Low,0.02
F2-9,F2,1,420,80,Low,0.25
F2-9,F2,1,420,81,Low,0.24
F2-9,F2,1,420,82,Low,0.21
F2-9,F2,1,420,83,Low,0.18
F2-9,F2,1,420,84,Low,0.15
F2-9,F2,1,420,85,Low,0.22
F2-9,F2,1,420,86,Low,0.15
F2-9,F2,1,420,87,High,0.05
F2-9,F2,1,420,88,Low,0.23
F2-9,F2,1,420,89,Low,0.17
F2-9,F2,1,420,90,Low,0.22
F2-9,F2,1,420,91,Low,0.24
F2-13,F2,1,420,1,Medium,0.07
F2-13,F2,1,420,2,Medium,0.1
F2-13,F2,1,420,3,Medium,0.07
F2-13,F2,1,420,4,Medium,0.09
F2-13,F2,1,420,5,High,0.06
F2-13,F2,1,420,6,High,0.02
F2-13,F2,1,420,7,Died,0.04
F2-13,F2,1,420,8,Died,0
F2-13,F2,1,420,9,Died,0.03
F2-13,F2,1,420,10,Died,0.07
F2-13,F2,1,420,11,High,0.03
F2-13,F2,1,420,12,Medium,0.08
F2-13,F2,1,420,13,Died,0.04
F2-13,F2,1,420,14,Died,0.03
F2-13,F2,1,420,15,Died,0.01
F2-13,F2,1,420,16,Died,0
F2-13,F2,1,420,17,High,0.04
F2-13,F2,1,420,18,High,0.03
F2-13,F2,1,420,19,Medium,0.12
F2-13,F2,1,420,20,High,0.02
F2-13,F2,1,420,21,High,0.08
F2-13,F2,1,420,22,High,0.08
F2-13,F2,1,420,23,Medium,0.07
F2-13,F2,1,420,24,High,0.02
F2-13,F2,1,420,25,Died,0.08
F2-13,F2,1,420,26,High,0.07
F2-13,F2,1,420,27,Medium,0.02
F2-13,F2,1,420,28,High,0.05
F2-13,F2,1,420,29,High,0.02
F2-13,F2,1,420,30,Died,0.09
F2-13,F2,1,420,31,High,0.04
F2-13,F2,1,420,32,Died,0.06
F2-13,F2,1,420,33,High,0.09
F2-13,F2,1,420,34,Died,0.05
F2-13,F2,1,420,35,High,0.1
F2-13,F2,1,420,36,Died,0.01
F2-13,F2,1,420,37,Died,0.08
F2-13,F2,1,420,38,High,0.04
F2-13,F2,1,420,39,High,0.03
F2-13,F2,1,420,40,Died,0.01
F2-13,F2,1,420,41,Died,0.04
F2-13,F2,1,420,42,High,0.04
F2-13,F2,1,420,43,High,0.03
F2-13,F2,1,420,44,High,0.04
F2-13,F2,1,420,45,High,0.06
F2-13,F2,1,420,46,High,0.02
F2-13,F2,1,420,47,Medium,0.06
F2-13,F2,1,420,48,Died,0.06
F2-13,F2,1,420,49,High,0.06
F2-13,F2,1,420,50,Medium,0.03
F2-13,F2,1,420,51,Medium,0.08
F2-13,F2,1,420,52,Died,0.03
F2-13,F2,1,420,53,Medium,0.08
F2-13,F2,1,420,54,Medium,0.08
F2-13,F2,1,420,55,High,0.05
F2-13,F2,1,420,56,High,0.09
F2-13,F2,1,420,57,High,0.05
F2-13,F2,1,420,58,Died,0.05
F2-13,F2,1,420,59,Medium,0.15
F2-13,F2,1,420,60,Died,0.03
F2-13,F2,1,420,61,Died,0.02
F2-13,F2,1,420,62,Died,0.02
F2-13,F2,1,420,63,Died,0.04
F2-13,F2,1,420,64,Medium,0.04
F2-13,F2,1,420,65,Medium,0.05
F2-13,F2,1,420,66,Died,0.05
F2-13,F2,1,420,67,Died,0.02
F2-13,F2,1,420,68,Died,0.04
F2-13,F2,1,420,69,Died,0.07
F2-13,F2,1,420,70,High,0.07
F2-13,F2,1,420,71,Died,0.03
F2-13,F2,1,420,72,Medium,0.08
F2-13,F2,1,420,73,Medium,0.09
F2-13,F2,1,420,74,Died,0.03
F2-13,F2,1,420,75,Died,0.02
F2-13,F2,1,420,76,Died,0.07
F2-13,F2,1,420,77,Medium,0.03
F2-13,F2,1,420,78,High,0.06
F2-13,F2,1,420,79,High,0.07
F2-13,F2,1,420,80,Died,0.03
F2-13,F2,1,420,81,Died,0.06
F2-13,F2,1,420,82,Died,0
F2-13,F2,1,420,83,Died,0.01
F2-13,F2,1,420,84,High,0.06
F2-13,F2,1,420,85,Medium,0.04
F2-13,F2,1,420,86,Medium,0.07
F2-13,F2,1,420,87,Medium,0.06
F2-13,F2,1,420,88,High,0.05
F2-13,F2,1,420,89,Died,0.03
F2-13,F2,1,420,90,Died,0.05
F2-13,F2,1,420,91,Died,0.04
F2-13,F2,1,420,92,Medium,0.05
